Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 1	Expression 2	Expression 3	Expression 4	Expression 5	Expression 6	Expression 7	Expression 8	Expression 9	Expression 10	Expression 11	Expression 12	Expression 13	Expression 14	Expression 15	Expression 16
1932652	1932628	1930817	1930817	-	edd	b1851	6-phosphogluconate dehydratase	59	58	78	68	32	53	42	29	44	48	33	17	45	13	37	43
1934339	1934338	1932863	1932863	-	zwf	b1852	glucose-6-phosphate 1-dehydrogenase	157	156	168	248	487	167	155	392	129	130	82	145	117	120	85	79
1934654	1934676	1935545	1935547	+	yebK	b1853	predicted DNA-binding transcriptional regulator	60	68	61	66	45	36	91	67	56	98	106	30	152	35	55	85
1935673	1935673	1937115	1937115	+	pykA	b1854	pyruvate kinase II	96	102	85	129	114	133	144	140	133	147	137	147	150	123	77	91
1938225	1938217	1937246	1937246	-	lpxM	b1855	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	118	131	159	142	160	131	131	168	124	153	111	114	93	131	130	118
1939659	1939659	1938337	1938337	-	yebA	b1856	predicted peptidase	65	159	77	75	59	26	53	76	34	67	64	27	58	30	46	67
1940671	1940607	1939675	1939671	-	znuA	b1857	zinc transporter subunit: periplasmic-binding component of ABC superfamily	253	961	285	178	157	80	151	186	100	165	138	86	108	87	72	105
1940669	1940686	1941441		+	znuC	b1858	zinc transporter subunit: ATP-binding component of ABC superfamily	85	158	70	51	44	61	68	63	60	72	67	74	48	67	72	68
	1941438	1942223	1942223	+	znuB	b1859	zinc transporter subunit: membrane component of ABC superfamily	40	83	53	46	37	55	69	41	42	75	51	31	43	37	50	54
1943380	1943380	1942370	1942370	-	ruvB	b1860	"ATP-dependent DNA helicase, component of RuvABC resolvasome"	76	73	78	71	54	120	65	54	97	80	56	54	83	36	58	57
1944003	1944000	1943389	1943381	-	ruvA	b1861	"component of RuvABC resolvasome, regulatory subunit"	139	132	159	121	105	149	123	106	130	136	66	69	83	56	57	58
1944204	1944204	1944139	1944139	-	yobI	b4677	expressed protein	0	1	0	0	0	0	0	0	0	0	26	8	14	19	37	36
1944201	1944275	1944877	1944877	+	yebB	b1862	"conserved protein, DUF830 family"	2	2	2	2	2	0	0	1	0	1	29	5	17	13	30	38
1945400	1945400	1944879	1944879	-	ruvC	b1863	"component of RuvABC resolvasome, endonuclease"	169	152	219	201	142	43	147	145	52	171	34	47	38	45	30	28
1946175	1946175	1945435	1945435	-	yebC	b1864	"conserved protein, UPF0082 family"	1114	1042	1229	1050	804	321	1019	792	434	1012	167	244	297	133	105	83
1946773	1946656	1946204	1946203	-	nudB	b1865	dihydroneopterin triphosphate pyrophosphatase	457	422	455	409	259	123	404	269	179	391	77	133	105	84	63	49
1948547	1948546	1946774	1946774	-	aspS	b1866	aspartyl-tRNA synthetase	478	471	439	414	274	161	435	292	230	433	77	109	125	77	69	65
1948854	1948856	1949422		+	yecD	b1867	isochorismatase family protein	44	43	68	76	104	34	37	106	40	36	68	65	75	102	104	97
	1949419	1950237	1950237	+	yecE	b1868	"conserved protein, UPF0759 family"	13	13	20	15	22	7	9	21	9	9	32	17	33	30	32	35
1950288	1950290	1950685	1950705	+	yecN	b1869	"inner membrane protein, MAPEG family"	121	118	126	112	112	142	156	128	117	159	261	340	174	335	276	192
1950726	1950726	1951469		+	cmoA	b1870	"tRNA cmo(5)U34 methyltransferase, SAM-dependent"	157	159	130	101	73	95	134	83	90	125	55	80	75	80	72	57
	1951466	1952437	1952437	+	cmoB	b1871	"tRNA mo(5)U34 methyltransferase, SAM-dependent"	132	120	98	80	50	68	103	52	80	103	31	40	55	30	39	40
1955055	1955031	1952602	1952602	-	torZ	b1872	"trimethylamine N-oxide reductase system III, catalytic subunit"	3	2	2	2	2	3	3	2	2	2	32	13	24	17	46	52
1956195	1956156	1955056	1955056	-	torY	b1873	"TMAO reductase III (TorYZ), cytochrome c-type subunit"	0	0	0	0	0	0	0	0	0	0	29	7	16	13	34	44
1957303	1957290	1956544	1956544	-	cutC	b1874	copper homeostasis protein	36	38	47	46	59	78	40	62	63	45	80	79	58	66	85	72
1957870	1957870	1957304	1957304	-	yecM	b1875	predicted metal-binding enzyme	76	76	82	84	95	124	68	101	112	83	84	86	73	97	99	83
1958069	1958086	1959819	1959840	+	argS	b1876	arginyl-tRNA synthetase	335	328	419	374	333	280	341	346	283	351	94	102	110	76	77	76
1959996	1959996	1960484		+	yecT	b1877	predicted protein	8	8	8	3	6	3	7	8	5	7	33	10	16	13	30	32
	1960996	1960604	1960585	-	flhE	b1878	conserved protein	1	1	0	0	0	1	2	1	1	3	24	5	15	15	36	38
	1963074	1960996		-	flhA	b1879	predicted flagellar export pore protein	3	3	2	1	2	3	5	2	4	4	29	9	28	16	38	41
1964231	1964215	1963067		-	flhB	b1880	"flagellin export apparatus, substrate specificity protein"	2	2	0	0	0	1	4	0	1	5	24	6	21	10	33	40
	1965061	1964417	1964417	-	cheZ	b1881	"chemotaxis regulator, protein phosphatase for CheY"	2	3	1	1	2	7	3	2	4	4	30	13	31	12	24	27
1965475	1965461	1965072	1965072	-	cheY	b1882	chemotaxis regulator transmitting signal to flagellar motor component	5	5	3	7	2	10	4	4	9	4	53	29	49	18	79	99
1966527	1966525	1965476	1965476	-	cheB	b1883	fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA	1	1	0	1	1	1	0	0	2	0	24	9	18	9	33	41
1967388	1967388	1966528	1966528	-	cheR	b1884	"chemotaxis regulator, protein-glutamate methyltransferase"	0	0	0	0	0	1	0	1	1	0	32	12	27	22	30	28
1969048	1969008	1967407	1967389	-	tap	b1885	methyl-accepting protein IV	0	1	0	1	1	5	2	0	4	1	40	21	34	28	46	49
1970755	1970715	1969054	1969054	-	tar	b1886	methyl-accepting chemotaxis protein II	0	0	0	0	0	6	1	0	4	1	39	26	35	24	33	41
1971383	1971363	1970860	1970860	-	cheW	b1887	purine-binding chemotaxis protein	4	3	2	3	4	16	7	3	16	6	52	42	48	45	55	59
	1973348	1971384	1971384	-	cheA	b1888	fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein	1	2	1	1	2	7	4	1	4	2	24	14	28	17	27	29
	1974279	1973353	1973353	-	motB	b1889	protein that enables flagellar motor rotation	1	1	1	0	2	3	4	1	1	2	35	13	27	21	59	62
1975163	1975163	1974276		-	motA	b1890	proton conductor component of flagella motor	1	1	0	1	0	3	3	1	2	3	38	25	25	27	32	38
1975868	1975868	1975290	1975290	-	flhC	b1891	DNA-binding transcriptional dual regulator with FlhD	23	26	19	11	6	9	20	15	16	24	44	12	45	19	28	43
1976326	1976221	1975871	1975869	-	flhD	b1892	DNA-binding transcriptional dual regulator with FlhC	46	55	53	31	19	23	54	40	34	57	91	33	116	50	67	102
	1977045	1976542		-	insB	b1893	IS1 transposase B	6	5	10	8	4	3	8	6	4	7	20	12	22	16	39	32
1977269	1977239	1976964		-	insA	b1894	IS1 repressor TnpA	16	14	15	10	6	5	10	6	4	9	34	10	26	17	48	52
1977765	1977777	1978205	1978237	+	uspC	b1895	universal stress protein	15	16	13	20	32	35	16	34	30	16	127	99	90	89	133	120
	1979636	1978212	1978210	-	otsA	b1896	trehalose-6-phosphate synthase	4	5	8	28	52	45	8	40	28	8	220	696	173	671	534	152
1980411	1980411	1979611		-	otsB	b1897	"trehalose-6-phosphate phosphatase, biosynthetic"	3	3	5	26	52	39	7	36	22	4	176	437	152	406	355	113
1981564	1981564	1980578	1980578	-	araH	b4460	fused L-arabinose transporter subunits of ABC superfamily: membrane components	2	2	3	2	2	5	3	1	4	3	39	12	44	17	64	79
1983095	1983093	1981579	1981565	-	araG	b1900	fused L-arabinose transporter subunits of ABC superfamily: ATP-binding components	1	1	1	1	1	2	0	1	1	0	22	8	19	11	29	34
1984190	1984152	1983163	1983163	-	araF	b1901	L-arabinose transporter subunit	1	1	1	1	1	1	1	1	2	1	36	7	36	13	28	36
1984880	1984949	1985452	1985452	+	ftnB	b1902	"ferritin B, probable ferrous iron reservoir"	47	47	24	27	41	42	35	38	43	33	113	64	81	61	67	99
1985794	1985782	1985531	1985531	-	yecJ	b4537	predicted protein	317	316	226	188	247	103	135	240	135	155	88	218	107	266	118	112
	1985983	1985897	1985897	-	azuC	b4663	expressed protein	33	21	19	12	13	10	4	7	6	0	42	156	30	154	59	34
1986202	1986246	1986569	1986573	+	yecR	b1904	"lipoprotein, function unknown"	5	5	4	3	4	4	16	3	7	16	62	19	71	38	54	67
1986740	1986740	1987237	1987314	+	ftnA	b1905	ferritin iron storage protein (cytoplasmic)	492	624	294	202	209	237	166	230	182	188	184	198	247	235	205	152
1987541	1987514	1987275	1987260	-	yecH	b1906	predicted protein	5	5	7	6	14	3	3	10	7	5	56	17	54	20	67	55
1987691	1987705	1988916	1989086	+	tyrP	b1907	tyrosine transporter	51	48	80	85	79	38	45	83	33	55	40	14	36	26	48	60
1989657	1989643	1988978	1988915	-	yecA	b1908	"conserved protein, UPF0149 family"	37	35	39	29	14	53	39	10	32	36	44	30	63	18	45	49
1989925			1989839	-	leuZ	b1909	Leu tRNA	574	587	384	373	302	313	818	379	458	845	404	232	211	194	134	295
1990011			1989938	-	cysT	b1910	Cys tRNA	2101	1951	1872	1375	1427	1256	2430	1894	1513	2225	976	646	544	817	352	855
1990141			1990066	-	glyW	b1911	Gly tRNA	1908	1838	2631	1721	1893	1840	2739	2584	1931	2649	1668	979	838	1218	544	1193
1990843	1990841	1990293	1990270	-	pgsA	b1912	phosphatidylglycerophosphate synthetase	84	86	139	119	147	184	134	162	159	178	381	340	228	301	248	254
	1992730	1990898	1990898	-	uvrC	b1913	"excinuclease UvrABC, endonuclease subunit"	34	33	32	41	40	33	19	35	27	22	26	33	26	29	28	26
1993405	1993383	1992727		-	uvrY	b1914	DNA-binding response regulator in two-component regulatory system with BarA	277	278	225	228	262	213	164	252	199	167	127	274	148	215	174	112
1993826	1993842	1994066	1994066	+	yecF	b1915	"conserved protein, DUF2594 family"	430	379	585	350	292	74	318	359	134	388	87	105	60	87	78	102
1994876	1994856	1994134	1994134	-	sdiA	b1916	quorum-sensing transcriptional activator	107	107	155	128	164	70	54	160	69	63	131	112	105	105	110	82
	1995838	1995086	1995039	-	yecC	b1917	predicted transporter subunit: ATP-binding component of ABC superfamily	34	33	29	24	20	43	49	13	39	47	49	69	75	57	35	35
1996503	1996503	1995835		-	yecS	b1918	"inner membrane protein, predicted transporter subunit: membrane component of ABC superfamily"	32	34	25	22	22	40	39	18	24	42	54	90	69	82	48	53
1997526	1997504	1996518	1996518	-	dcyD	b1919	"D-cysteine desulfhydrase, PLP-dependent"	78	83	58	50	59	74	88	45	77	84	140	183	197	151	98	79
1998409	1998409	1997609	1997609	-	fliY	b1920	cystine transporter subunit	94	94	55	62	26	171	148	16	149	112	387	725	917	188	88	107
1999062	1999048	1998497	1998410	-	fliZ	b1921	RpoS antagonist; putative regulator of FliA activity	7	8	5	2	5	15	13	4	12	18	114	72	114	95	83	76
1999813	1999813	1999094	1999094	-	fliA	b1922	"RNA polymerase, sigma 28 (sigma F) factor"	9	11	6	3	1	14	24	2	15	25	92	41	67	48	36	59
2001651	2001630	2000134	2000134	-	fliC	b1923	flagellar filament structural protein (flagellin)	10	10	9	9	11	41	31	9	33	30	301	523	298	478	205	145
2001760	2001896	2003302	2003326	+	fliD	b1924	flagellar filament capping protein	1	1	1	0	0	3	4	0	1	2	45	16	39	24	37	40
2003327	2003327	2003737		+	fliS	b1925	flagellar protein potentiates polymerization	3	3	1	2	3	6	5	4	3	3	149	39	169	61	136	91
	2003737	2004102	2004102	+	fliT	b1926	predicted chaperone	2	2	1	1	0	1	0	1	1	1	35	11	39	23	41	47
2004161	2004180	2005667	2005667	+	amyA	b1927	cytoplasmic alpha-amylase	9	11	8	25	50	74	12	40	54	14	202	370	234	331	241	141
2006129	2006114	2005701	2005701	-	yedD	b1928	lipoprotein	167	153	126	122	132	164	129	141	156	136	102	98	85	146	120	111
2006301	2006301	2007506		+	yedE	b1929	predicted inner membrane protein	237	250	62	41	23	88	519	39	168	488	151	29	262	36	39	123
	2007503	2007736	2007736	+	yedF	b1930	"conserved protein, UPF0033 family"	129	137	22	14	11	46	231	21	69	174	73	19	102	28	27	80
2007833	2007845	2008513	2008513	+	yedK	b1931	predicted protein	4	4	2	2	5	3	5	4	5	8	36	41	37	44	67	49
2008624	2008624	2009103	2009391	+	yedL	b1932	predicted acyltransferase	3	3	4	5	7	4	4	4	6	4	56	27	45	49	75	78
2011171	2011038	2010724	2010438	-	fliE	b1937	flagellar basal-body component	5	6	1	1	0	2	5	0	5	8	17	4	14	13	35	49
	2011253	2012911		+	fliF	b1938	flagellar basal-body MS-ring and collar protein	5	6	3	1	0	3	8	1	3	8	40	10	29	14	23	32
	2012904	2013899		+	fliG	b1939	flagellar motor switching and energizing component	5	6	3	1	1	3	11	1	4	11	36	11	30	17	22	29
	2013892	2014578		+	fliH	b1940	negative regulator of FliI ATPase activity	5	5	3	2	0	2	8	1	3	8	20	5	18	10	19	24
	2014578	2015951		+	fliI	b1941	flagellum-specific ATP synthase	1	2	1	0	0	1	3	1	3	4	14	4	16	7	15	20
	2015970	2016413		+	fliJ	b1942	flagellar protein	2	2	1	0	0	2	4	0	3	4	45	5	33	13	23	29
	2016410	2017537	2017541	+	fliK	b1943	flagellar hook-length control protein	1	2	2	0	1	2	3	1	1	3	40	9	38	17	30	38
2017621	2017642	2018106	2018106	+	fliL	b1944	flagellar biosynthesis protein	8	10	6	2	3	5	20	1	5	13	58	10	37	23	20	36
2018111	2018111	2019115		+	fliM	b1945	flagellar motor switching and energizing component	4	6	4	2	1	3	8	2	5	9	26	5	26	12	25	33
	2019112	2019525		+	fliN	b1946	flagellar motor switching and energizing component	2	3	2	1	1	2	7	1	2	7	20	4	17	9	19	22
2019526	2019528	2019893		+	fliO	b1947	flagellar biosynthesis protein	9	10	6	3	6	19	21	3	11	20	50	15	53	33	56	69
	2019893	2020630	2020630	+	fliP	b1948	flagellar biosynthesis protein	1	1	1	1	0	1	2	1	2	3	18	4	21	11	21	25
	2020640	2020909		+	fliQ	b1949	flagellar biosynthesis protein	1	1	2	1	1	2	4	1	3	8	30	4	17	10	23	29
2020917	2020917	2021702	2021724	+	fliR	b1950	flagellar export pore protein	0	0	2	0	0	1	1	1	1	2	27	6	14	15	27	39
	2021992	2022615		+	rcsA	b1951	"DNA-binding transcriptional activator, co-regulator with RcsB"	2	2	3	5	9	2	4	8	1	3	20	29	15	22	27	33
2022864	2022847	2022659	2022641	-	dsrB	b1952	predicted protein	138	128	68	53	97	136	56	79	123	74	50	53	54	55	84	72
2022980	2023010	2023237	2023238	+	yodD	b1953	predicted protein	1	1	1	8	12	11	2	6	10	2	135	283	95	347	255	74
2023337			2023251	-	dsrA	b1954	-	6	7	8	7	7	3	4	10	1	3	73	85	41	60	87	49
2023366	2023535	2024350	2024350	+	yedP	b1955	predicted mannosyl-3-phosphoglycerate phosphatase	4	5	5	10	13	14	3	14	11	6	111	257	96	284	272	96
2026169	2026041	2024347	2024332	-	yedQ	b1956	predicted diguanylate cyclase	9	8	8	10	10	15	12	11	13	8	51	29	53	37	57	55
2026399	2026394	2026212	2026204	-	yodC	b1957	predicted protein	9	7	1	2	0	2	1	0	8	0	61	8	42	20	43	59
2027390	2027390	2026473	2026446	-	yedI	b1958	conserved inner membrane protein	8	8	6	6	8	10	10	5	7	5	27	30	36	32	35	39
2027499	2027563	2028483	2028486	+	yedA	b1959	"amino acid exporter for phenylalanine, threonine"	0	0	1	0	0	1	1	0	0	0	29	5	27	13	30	39
	2028942	2028472	2028454	-	vsr	b1960	DNA mismatch endonuclease of very short patch repair	27	24	28	33	54	56	29	37	38	33	32	30	27	41	37	31
2030360	2030341	2028923		-	dcm	b1961	DNA cytosine methyltransferase	66	59	68	69	93	107	48	80	86	60	61	63	49	61	50	46
	2031103	2030408		-	yedJ	b1962	"predicted hydrolase, HD superfamily"	57	44	50	59	54	81	31	32	56	30	30	77	34	49	40	30
2031508	2031508	2031143	2031143	-	yedR	b1963	inner membrane protein	141	98	98	108	106	170	29	51	88	31	81	159	71	54	113	110
2031673			2031763	+	rseX	b4603	-	0	0	0	0	0	0	0	0	0	0	61	20	57	19	33	60
2033664	2033859	2034710	2034710	+	hchA	b1967	Glyoxalase III and Hsp31 molecular chaperone	11	11	24	47	67	44	11	70	25	8	139	394	139	359	286	105
	2036176	2034818	2034802	-	yedV	b1968	predicted sensory kinase in two-component regulatory system with YedW	19	17	24	29	49	34	19	33	33	21	70	43	44	52	63	72
2036862	2036847	2036176		-	yedW	b1969	predicted DNA-binding response regulator in two-component system with YedV	32	30	43	33	27	20	21	24	24	21	49	32	42	44	77	87
2036965	2036980	2037393	2037401	+	hiuH	b1970	Hydroxyisourate hydrolase	3	2	14	17	22	6	5	17	3	4	47	72	32	53	59	49
2037419	2037502	2038506		+	yedY	b1971	"membrane-anchored, periplasmic TMAO, DMSO reductase"	5	6	5	4	7	9	5	7	5	5	71	102	45	113	95	49
	2038507	2039142	2039148	+	yedZ	b1972	inner membrane heme subunit for periplasmic YedYZ reductase	5	5	5	8	6	7	5	7	4	7	44	87	35	83	79	53
2039388	2039399	2040049	2040050	+	zinT	b1973	"zinc and cadmium binding protein, periplasmic"	39	624	24	21	21	6	17	22	7	18	68	15	39	40	49	59
2040392	2040392	2040922	2040950	+	yodB	b1974	cytochrome b561 homolog	8	18	10	8	11	18	14	9	15	13	189	128	174	186	149	186
2041581			2041492	-	serU	b1975	Ser tRNA	392	330	518	122	65	37	77	275	32	44	87	57	82	53	113	99
2041634	2041675	2042472	2042572	+	mtfA	b1976	anti-repressor for DgsA(Mlc)	42	45	53	49	83	80	70	81	85	85	484	204	411	226	206	407
2042573			2042648	+	asnT	b1977	Asn tRNA	67	57	71	35	23	33	81	44	39	90	142	38	130	56	60	78
	2042962	2050038		+	yeeJ	b1978	probable adhesin	3	3	2	3	5	6	2	4	4	3	28	14	20	19	32	34
2051650	2051667	2052983	2053068	+	shiA	b1981	shikimate transporter	26	23	30	25	37	25	29	35	26	31	90	94	77	85	82	87
2053078	2053085	2054539	2054539	+	amn	b1982	AMP nucleosidase	60	56	84	99	182	154	51	140	108	61	275	443	237	473	380	204
2054879	2054882	2055598	2055598	+	yeeN	b1983	"conserved protein, UPF0082 family"	556	545	692	608	769	414	476	721	508	549	175	189	197	231	140	155
2056126			2056051	-	asnW	b1984	Asn tRNA	28	29	31	11	8	10	27	26	8	29	35	15	38	27	30	63
2057749	2057714	2056227	2056227	-	yeeO	b1985	"predicted multdrug exporter, MATE family"	3	3	2	1	1	3	2	0	3	2	44	11	48	28	71	86
2057875			2057950	+	asnU	b1986	Asn tRNA	45	49	72	14	8	6	32	33	3	23	42	11	39	23	22	42
2058952	2058938	2057988	2057988	-	cbl	b1987	DNA-binding transcriptional activator for the ssuEADCB and tauABCD operons	4	3	5	3	4	3	8	4	2	4	95	62	84	94	72	105
2059957	2059957	2059040	2058953	-	nac	b1988	DNA-binding transcriptional dual regulator of nitrogen assimilation	2	2	2	2	2	2	2	2	2	1	39	14	30	21	51	59
2060284			2060359	+	asnV	b1989	Asn tRNA	17	20	37	11	3	0	7	22	0	8	33	4	43	19	40	42
2061348	2061347	2060415	2060415	-	erfK	b1990	"L,D-transpeptidase linking Lpp to murein"	10	10	11	12	27	26	9	23	18	9	101	185	80	177	151	89
2062502	2062491	2061412	2061412	-	cobT	b1991	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	14	14	9	11	22	23	15	12	13	7	42	26	40	32	58	68
	2063246	2062503	2062503	-	cobS	b1992	cobalamin synthase	10	10	3	2	1	5	6	1	4	5	27	6	26	11	44	57
2063809	2063788	2063243		-	cobU	b1993	bifunctional cobinamide kinase/ cobinamide phosphate guanylyltransferase	13	12	7	9	4	9	6	5	7	5	26	11	31	21	34	41
2065668	2065345	2064329	2064280	-	insH	b1994	IS5 transposase and trans-activator	58	67	46	48	42	41	67	54	52	69	91	34	80	56	53	78
	2067881	2066976	2066707	-	insD	b1996	IS2 transposase TnpB	11	11	14	14	15	16	10	13	13	11	41	26	34	33	52	52
2068209	2068204	2067839		-	insC	b1997	IS2 repressor TnpA	16	17	18	18	23	21	13	22	18	14	44	32	45	40	51	45
2069339			2069542	+	isrC	b4435	-	5	4	1	1	1	47	29	80	110	97	49	28	79	23	44	72
2069543	2069563	2072682	2072682	+	flu	b2000	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	8	8	3	5	7	141	111	140	324	266	92	118	236	67	60	86
2072803	2072803	2074335		+	yeeR	b2001	CP4-44 prophage; predicted membrane protein	2	2	2	1	3	16	16	18	35	35	38	27	41	28	44	54
	2074332	2074778		+	yeeS	b2002	CP4-44 prophage; predicted DNA repair protein	0	0	0	0	0	1	1	3	2	1	9	5	5	5	12	16
2074830	2074841	2075062	2075062	+	yeeT	b2003	CP4-44 prophage; predicted protein	0	0	1	0	0	1	0	0	0	1	23	7	19	16	36	47
	2075136	2075504	2075504	+	yeeU	b2004	CP4-44 prophage; antitoxin of the YeeV-YeeU toxin-antitoxin system	0	0	0	0	0	0	0	0	0	0	17	1	16	4	19	19
	2075593	2075967	2075967	+	cbtA	b2005	CP4-44 prophage; toxin of the YeeV-YeeU toxin-antitoxin system	0	0	0	0	0	0	0	0	0	0	14	3	14	9	18	26
2077467	2077385	2077056	2077039	-	yeeX	b2007	"conserved protein, UPF0265 family"	502	505	616	606	790	625	291	743	522	313	752	995	585	824	488	349
2078632	2078615	2077557	2077519	-	yeeA	b2008	"inner membrane protein, FUSC family"	21	20	25	25	22	17	19	24	17	28	82	99	57	88	97	73
2079295	2079286	2078813	2078813	-	sbmC	b2009	DNA gyrase inhibitor	15	15	10	12	18	22	12	16	25	12	54	76	86	30	53	71
2080576	2080571	2079405	2079379	-	dacD	b2010	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6b)	12	11	14	23	16	9	7	11	11	10	34	9	27	13	44	57
2080624	2080780	2082207	2082214	+	sbcB	b2011	exonuclease I	46	45	55	55	64	55	42	60	43	39	44	25	52	29	43	42
2082490	2082477	2082250	2082152	-	yeeD	b2012	conserved protein	35	19	27	8	6	21	57	10	22	96	126	171	236	137	59	150
2083549	2083549	2082491	2082491	-	yeeE	b2013	"inner membrane protein, UPF0394 family"	21	16	29	9	8	11	136	7	10	58	221	186	347	120	97	142
	2085086	2083728	2083724	-	plaP	b2014	"putrescine importer, low affinity"	1646	1586	1219	492	221	208	1899	392	444	1886	156	90	192	79	79	138
2085255	2085138	2085076		-	yoeI	b4678	expressed protein	678	681	584	271	123	96	732	209	197	766	116	64	88	42	13	52
2086282	2086282	2085353	2085353	-	yeeY	b2015	predicted DNA-binding transcriptional regulator	9	8	5	7	12	10	5	6	9	6	53	48	48	49	62	51
2087152	2087152	2086328	2086283	-	yeeZ	b2016	"predicted epimerase, with NAD(P)-binding Rossmann-fold domain"	102	97	107	105	150	201	79	135	140	91	117	163	139	149	149	107
	2087489	2087235	2087235	-	yoeB	b4539	toxin of the YoeB-YefM toxin-antitoxin system	80	73	61	71	62	81	37	60	58	41	54	69	86	62	67	76
2087828	2087737	2087486		-	yefM	b2017	antitoxin of the YoeB-YefM toxin-antitoxin system	89	81	70	59	71	57	43	68	64	40	96	79	116	66	101	119
2088020	2088020	2088070	2088073	+	hisL	b2018	his operon leader peptide	27	24	29	9	2	16	18	12	7	22	115	37	35	40	31	39
2088185	2088216	2089115	2089120	+	hisG	b2019	ATP phosphoribosyltransferase	150	157	44	18	9	23	116	9	30	111	141	113	225	91	58	86
2089121	2089121	2090425		+	hisD	b2020	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase	53	58	13	7	4	10	40	3	13	39	70	63	88	49	32	44
	2090422	2091492		+	hisC	b2021	histidinol-phosphate aminotransferase	62	67	19	10	10	20	59	10	20	52	87	109	130	93	49	64
	2091492	2092559		+	hisB	b2022	fused histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase	111	122	33	26	26	46	72	23	35	64	79	101	150	76	54	65
	2092559	2093149		+	hisH	b2023	"imidazole glycerol phosphate synthase, glutamine amidotransferase subunit with HisF"	51	52	18	12	8	21	35	7	17	30	41	42	80	26	17	27
	2093149	2093886		+	hisA	b2024	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	69	71	23	18	14	35	59	14	31	63	53	40	108	23	29	37
	2093868	2094644		+	hisF	b2025	"imidazole glycerol phosphate synthase, catalytic subunit with HisH"	99	99	42	33	31	52	96	28	54	84	126	112	165	136	84	99
	2094638	2095249	2095249	+	hisI	b2026	fused phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	83	86	32	27	24	39	73	23	37	66	119	129	120	114	77	96
2096329	2096325	2095345	2095345	-	cld	b2027	regulator of length of O-antigen component of lipopolysaccharide chains	1125	1142	881	651	677	605	1143	629	765	1195	413	505	433	513	253	302
2097669	2097637	2096471	2096466	-	ugd	b2028	UDP-glucose 6-dehydrogenase	21	21	18	22	29	27	32	19	28	26	105	145	102	201	112	126
2099341	2099292	2097886	2097882	-	gnd	b2029	"6-phosphogluconate dehydrogenase, decarboxylating"	1304	1293	861	984	1327	1787	1099	1139	1559	1033	376	840	395	719	299	214
2100957	2100935	2099919	2099857	-	insH	b2030	IS5 transposase and trans-activator	86	101	69	72	64	55	104	80	74	99	99	44	100	66	60	91
2101248			2101082	-	-	predicted RNA	-	858	788	1035	1130	1583	899	1017	1190	917	1180	695	917	888	982	727	559
	2102533	2101415	2101367	-	wbbK	b2032	lipopolysaccharide biosynthesis protein	228	233	304	322	337	227	330	315	224	313	235	257	161	213	127	133
	2103108	2102518		-	wbbJ	b2033	predicted lipopolysaccharide biosynthesis O-acetyl transferase	567	546	461	562	516	452	636	516	473	665	263	250	222	202	191	227
2104083	2104081	2103089		-	wbbI	b2034	"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase"	361	355	341	395	461	327	406	414	335	444	202	263	159	224	134	162
	2105250	2104084	2104084	-	rfc	b2035	O-antigen polymerase	245	234	242	206	194	164	308	173	176	299	108	147	104	113	98	119
2106360	2106353	2105250		-	glf	b2036	"UDP-galactopyranose mutase, FAD/NAD(P)-binding"	304	287	176	183	87	149	267	56	185	218	96	121	117	65	65	79
	2107608	2106361	2106361	-	rfbX	b2037	predicted polisoprenol-linked O-antigen transporter	248	226	229	226	216	136	243	177	141	216	162	180	110	140	103	120
	2108162	2107605		-	rfbC	b2038	"dTDP-4-deoxyrhamnose-3,5-epimerase"	283	269	296	302	358	180	331	270	184	280	215	283	150	211	109	130
2109050	2109043	2108162		-	rfbA	b2039	glucose-1-phosphate thymidylyltransferase	485	458	444	406	311	262	425	308	307	428	117	120	164	70	77	96
	2110000	2109101	2109059	-	rfbD	b2040	"dTDP-4-dehydrorhamnose reductase subunit, NAD(P)-binding, of dTDP-L-rhamnose synthase"	871	786	625	605	541	427	743	496	536	769	154	184	218	143	112	120
2111240	2111085	2110000		-	rfbB	b2041	"dTDP-glucose 4,6 dehydratase, NAD(P)-binding"	694	674	670	571	452	363	722	502	432	715	190	202	171	166	114	142
2112368	2112351	2111458	2111455	-	galF	b2042	putative regulatory subunit for GalU	552	551	496	542	663	703	498	673	622	540	427	496	325	496	317	280
2113920	2113920	2112526	2112496	-	wcaM	b2043	colanic acid biosynthesis protein	5	5	4	5	7	3	5	6	4	3	27	20	29	29	44	41
	2115151	2113931		-	wcaL	b2044	predicted glycosyl transferase	2	2	1	2	1	2	1	2	1	0	19	4	21	10	22	24
