Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression CV104_pHDB3_5	Expression CV104_pHDB3_10	Expression CV104_pHDB3_20	Expression CV104_pLCV1_5	Expression CV104_pLCV1_10	Expression CV104_pLCV1_20
	2409374	2407542		-	yfbS	b2292	predicted transporter	11	9	11	12	9	9
	2410111	2409461		-	yfbT	b2293	sugar phosphatas	123	123	104	116	119	95
2410616	2410616	2410122		-	yfbU	b2294	"conserved protein, UPF0304 family"	189	181	171	224	192	159
	2411154	2410699		-	yfbV	b2295	"inner membrane protein, UPF0208 family"	60	54	57	57	64	50
2411332	2411492	2412694	2412694	+	ackA	b2296	acetate kinase A and propionate kinase 2	1699	1574	1647	1735	1649	1665
2412695	2412769	2414913	2414913	+	pta	b2297	phosphate acetyltransferase	967	900	893	927	870	957
	2415103	2416623		+	yfcC	b2298	predicted inner membrane protein	4	5	4	7	4	4
2417255	2417198	2416656	2416656	-	yfcD	b2299	predicted NUDIX hydrolase	283	257	264	292	267	245
2417810	2417810	2417256	2417256	-	yfcE	b2300	phosphodiesterase activity on bis-pNPP	219	194	203	227	201	202
	2418507	2417863		-	yfcF	b2301	glutathione S-transferase	15	14	17	20	18	17
	2418643	2419290		+	yfcG	b2302	GSH-dependent disulfide bond oxidoreductase	4	8	6	7	8	6
2419347	2419347	2419709	2419729	+	folX	b2303	"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase"	293	311	367	330	358	354
	2419730	2420623		+	yfcH	b2304	conserved protein with NAD(P)-binding Rossmann-fold domain	114	132	127	124	126	130
	2421561	2420671		-	yfcI	b2305	conserved protein	11	10	11	16	11	13
	2422531	2421758		-	hisP	b2306	histidine/lysine/arginine/ornithine transporter subunit	24	30	31	32	32	37
	2423255	2422539		-	hisM	b2307	histidine/lysine/arginine/ornithine transporter subunit	24	25	26	24	25	30
	2423938	2423252		-	hisQ	b2308	histidine/lysine/arginine/ornithine transporter permease subunit	29	34	35	27	34	39
	2424810	2424028		-	hisJ	b2309	histidine/lysine/arginine/ornithine transporter subunit	105	120	124	111	124	125
	2425813	2425031		-	argT	b2310	lysine/arginine/ornithine transporter subunit	55	62	70	66	78	74
	2426648	2426079		-	ubiX	b2311	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	40	38	33	43	37	44
	2428260	2426743		-	purF	b2312	amidophosphoribosyltransferase	140	137	154	133	131	164
2428795	2428785	2428297	2428261	-	cvpA	b2313	membrane protein required for colicin V production	240	207	255	199	252	261
	2429706	2429044		-	dedD	b2314	membrane-anchored periplasmic protein involved in septation	125	133	115	112	115	134
	2430964	2429696		-	folC	b2315	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	132	136	138	133	124	132
2431984	2431948	2431034	2431034	-	accD	b2316	"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit"	892	843	898	879	813	877
	2432763	2432104		-	dedA	b2317	conserved inner membrane protein	125	143	153	126	137	143
	2433658	2432846		-	truA	b2318	pseudouridylate synthase I	118	124	134	105	123	131
	2434671	2433658		-	usg	b2319	predicted semialdehyde dehydrogenase	167	179	187	157	167	187
2435873	2435873	2434737		-	pdxB	b2320	erythronate-4-phosphate dehydrogenase	199	194	184	177	190	191
	2435972	2436967		+	flk	b2321	predicted flagella assembly protein	53	51	55	52	47	51
	2438142	2436964		-	yfcJ	b2322	predicted transporter	18	18	17	21	18	20
2439631	2439627	2438407	2438390	-	fabB	b2323	3-oxoacyl-[acyl-carrier-protein] synthase I	1126	1114	901	1033	1053	885
	2439786	2441792		+	mnmC	b2324	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme	41	39	42	40	39	40
	2442191	2441913		-	yfcL	b2325	predicted protein	153	152	160	130	154	155
	2442773	2442225		-	yfcM	b2326	conserved protein	89	89	91	77	91	81
	2443582	2442773		-	yfcA	b2327	"inner membrane protein, UPF0721 family"	54	57	51	50	56	62
	2444406	2443582		-	mepA	b2328	murein DD-endopeptidase	84	99	98	79	86	95
	2445495	2444410		-	aroC	b2329	chorismate synthase	170	180	158	163	161	170
2446462	2446462	2445530		-	prmB	b2330	N5-glutamine methyltransferase	211	204	194	215	204	205
	2446628	2447179		+	smrB	b2331	predicted DNA endonuclease	61	61	46	55	55	60
	2448071	2447250		-	yfcO	b2332	predicted protein	37	38	36	41	36	41
	2448612	2448073		-	yfcP	b2333	predicted fimbrial-like adhesin protein	3	3	3	5	3	4
	2449097	2448609		-	yfcQ	b2334	predicted fimbrial-like adhesin protein	2	2	3	8	3	3
	2449606	2449094		-	yfcR	b2335	predicted fimbrial-like adhesin protein	2	3	3	4	4	2
	2450358	2449606		-	yfcS	b2336	predicted periplasmic pilus chaperone	1	2	1	6	1	1
	2453668	2453105		-	yfcV	b2339	predicted fimbrial-like adhesin protein	1	1	2	8	1	1
	2454834	2454349		-	sixA	b2340	phosphohistidine phosphatase	167	162	168	166	165	160
	2457181	2455037		-	fadJ	b2341	fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase	7	9	8	11	8	11
	2458491	2457181		-	fadI	b2342	"beta-ketoacyl-CoA thiolase, anaerobic, subunit"	5	4	5	6	5	8
2458956	2458956	2458672		-	yfcZ	b2343	"conserved protein, UPF0381 family"	269	202	199	169	175	186
2459328	2459328	2460668	2460668	+	fadL	b2344	long-chain fatty acid outer membrane transporter	530	420	412	515	453	396
	2461034	2462092		+	yfdF	b2345	predicted protein	12	26	30	85	30	14
2463058	2463029	2462274	2462274	-	mlaA	b2346	"ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component"	318	304	302	288	310	262
	2463323	2464255		+	yfdC	b2347	predicted inner membrane protein	4	6	8	9	10	7
2464331			2464405	+	argW	b2348	Arg tRNA	5	2	6	4	3	5
	2464567	2465724		+	intS	b2349	CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase	51	51	48	62	50	42
2465877	2465877	2466239		+	gtrA	b2350	CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)	197	192	225	188	252	209
	2466236	2467156		+	gtrB	b2351	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase	231	229	312	258	296	263
	2467153	2468484		+	gtrS	b2352	"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage"	115	117	156	130	172	148
	2469539	2469099		-	yfdK	b2354	CPS-53 (KpLE1) prophage; conserved protein	8	11	13	23	10	8
	2470903	2470409		-	yfdN	b2357	CPS-53 (KpLE1) prophage; predicted protein	0	1	1	5	1	0
	2471626	2471988		+	yfdP	b2359	CPS-53 (KpLE1) prophage; predicted protein	1	3	5	3	4	2
	2472054	2472878		+	yfdQ	b2360	CPS-53 (KpLE1) prophage; predicted protein	5	6	5	6	6	4
	2473006	2473542		+	yfdR	b2361	CPS-53 (KpLE1) prophage; conserved protein	1	1	3	3	3	2
	2473533	2473895		+	yfdS	b2362	CPS-53 (KpLE1) prophage; predicted protein	1	0	3	7	2	1
	2473895	2474200		+	yfdT	b2363	CPS-53 (KpLE1) prophage; predicted protein	3	4	4	12	5	3
	2474332	2474532		+	torI	b4501	response regulator inhibitor for tor operon	13	18	22	28	14	13
2474606			2474620	+	pawZ	b4643	Xaa tRNA	7	10	6	13	18	1
	2475651	2474716		-	dsdC	b2364	DNA-binding transcriptional dual regulator	14	16	14	16	16	15
	2475869	2477206		+	dsdX	b2365	D-serine permease	12	10	8	15	14	10
	2477224	2478552		+	dsdA	b2366	D-serine dehydratase	41	39	38	45	49	49
	2480198	2478660		-	emrY	b2367	predicted multidrug efflux system	5	8	9	27	9	6
	2481361	2480198		-	emrK	b2368	"EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component"	3	3	4	8	4	2
	2481777	2482391		+	evgA	b2369	DNA-binding response regulator in two-component regulatory system with EvgS	81	83	110	92	97	93
	2482396	2485989		+	evgS	b2370	hybrid sensory histidine kinase in two-component regulatory system with EvgA	11	11	17	15	15	14
	2487190	2486045		-	yfdE	b2371	"predicted CoA-transferase, NAD(P)-binding"	2	3	4	6	4	2
	2488208	2487264		-	yfdV	b2372	predicted transporter	3	3	5	10	3	3
	2489972	2488278		-	oxc	b2373	"oxalyl CoA decarboxylase, ThDP-dependent"	3	4	2	5	2	2
	2491276	2490026		-	frc	b2374	"formyl-CoA transferase, NAD(P)-binding"	4	3	4	7	2	3
	2492424	2491789		-	yfdX	b2375	predicted protein	2	2	2	6	3	2
	2492720	2492995		+	ypdI	b2376	predicted lipoprotein involved in colanic acid biosynthesis	5	6	8	17	8	7
	2493314	2493072		-	yfdY	b2377	predicted inner membrane protein	22	29	29	24	26	26
	2493667	2494587		+	lpxP	b2378	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase	5	8	8	12	8	8
	2494943	2495014		+	ypdK	b4680	"expressed protein, membrane-associated"	80	79	96	53	69	86
	2496317	2495079		-	alaC	b2379	valine-pyruvate aminotransferase 3	51	55	51	47	50	53
	2496693	2498390		+	ypdA	b2380	predicted sensory kinase in two-component system with YpdB	15	15	15	18	14	13
	2498405	2499139		+	ypdB	b2381	predicted response regulator in two-component system with YpdA	31	28	28	37	27	29
	2499152	2500009		+	ypdC	b2382	predicted DNA-binding protein	9	9	9	12	8	7
	2502507	2500012		-	fryA	b2383	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component	1	2	2	5	2	2
	2503569	2502532		-	ypdE	b2384	aminopeptidase	1	1	1	3	1	1
	2504654	2503569		-	ypdF	b2385	Xaa-Pro aminopeptidase	1	2	1	3	1	2
	2505916	2504669		-	fryC	b2386	predicted enzyme IIC component of PTS	1	2	1	5	0	0
	2506264	2505938		-	fryB	b2387	predicted enzyme IIB component of PTS	1	0	1	6	2	1
	2507448	2506483		-	glk	b2388	glucokinase	71	74	59	75	80	74
	2507652	2508908		+	yfeO	b2389	predicted ion channel protein	8	10	8	12	9	9
	2509023	2509349		+	ypeC	b2390	conserved protein	12	12	12	13	9	8
	2510728	2509490		-	mntH	b2392	manganese/divalent cation transporter	27	35	30	29	33	30
2511064	2511064	2512266	2512352	+	nupC	b2393	nucleoside (except guanosine) transporter	303	292	349	350	393	426
	2512353	2513465		+	insL	b2394	IS186 transposase	97	91	85	114	101	94
	2515854	2513665		-	yfeA	b2395	predicted diguanylate cyclase	32	31	33	36	32	31
2516138			2516063	-	alaX	b2396	Ala tRNA	389	416	573	189	222	577
2516253			2516178	-	alaW	b2397	Ala tRNA	1026	1136	1633	552	483	1477
	2516489	2516833		+	yfeC	b2398	"predicted DNA-binding protein, DUF1323 family"	38	34	31	44	38	36
	2516835	2517227		+	yfeD	b2399	"conserved protein, DUF1323 family; N-terminal HTH domain of the MerR superfamily"	31	29	34	35	39	43
2518717	2518694	2517279	2517279	-	gltX	b2400	glutamyl-tRNA synthetase	695	621	690	637	615	657
2518953			2519028	+	valU	b2401	Val tRNA	2710	2477	2853	1941	1669	2826
2519073			2519148	+	valX	b2402	Val tRNA	4889	4685	5120	3322	3337	5096
2519195			2519270	+	valY	b2403	Val tRNA	1444	1343	1488	942	1093	1543
2519275			2519350	+	lysV	b2404	Lys tRNA	527	482	475	428	426	538
	2520499	2519615		-	xapR	b2405	DNA-binding transcriptional activator for for xapAB	14	13	14	20	15	10
	2522007	2520751		-	xapB	b2406	xanthosine transporter	5	5	5	7	5	6
	2522900	2522067		-	xapA	b2407	purine nucleoside phosphorylase II	1	1	1	5	2	1
	2523149	2523913		+	yfeN	b2408	predicted outer membrane protein	3	4	4	9	5	3
	2524878	2523952		-	yfeR	b2409	predicted DNA-binding transcriptional regulator	15	15	13	19	11	14
	2524968	2525966		+	yfeH	b2410	predicted inner membrane protein	36	38	45	43	47	40
	2526181	2525963		-	ypeB	b4546	predicted protein	79	68	84	73	94	77
	2528198	2526183		-	ligA	b2411	"DNA ligase, NAD(+)-dependent"	143	142	146	146	138	146
2529274	2529255	2528269	2528253	-	zipA	b2412	cell division protein involved in Z ring assembly	308	304	307	298	295	277
	2529485	2530246		+	cysZ	b2413	predicted inner membrane protein	71	62	68	75	69	69
2530431	2530431	2531402	2531404	+	cysK	b2414	"cysteine synthase A, O-acetylserine sulfhydrolase A subunit"	256	288	348	258	311	277
2531629	2531786	2532043	2532087	+	ptsH	b2415	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	2803	2480	2673	2998	2696	2688
2532088	2532088	2533815	2533815	+	ptsI	b2416	PEP-protein phosphotransferase of PTS system (enzyme I)	1549	1398	1573	1508	1522	1486
2533816	2533856	2534365	2534370	+	crr	b2417	glucose-specific enzyme IIA component of PTS	2185	2025	2225	2102	2394	2131
	2535259	2534408		-	pdxK	b2418	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase	77	78	75	80	81	72
	2535364	2535738		+	yfeK	b2419	predicted protein	7	8	14	15	11	11
	2535771	2536505		+	yfeS	b2420	conserved protein	14	13	17	21	19	17
	2537605	2536694		-	cysM	b2421	cysteine synthase B (O-acetylserine sulfhydrolase B)	47	55	53	46	53	50
	2538836	2537739		-	cysA	b2422	sulfate/thiosulfate transporter subunit	7	7	10	8	6	5
	2539701	2538826		-	cysW	b2423	sulfate/thiosulfate ABC transporter subunit	7	6	7	10	5	4
	2540534	2539701		-	cysU	b2424	sulfate/thiosulfate ABC transporter permease	5	3	4	8	3	3
	2541550	2540534		-	cysP	b2425	thiosulfate-binding protein	8	6	7	5	6	5
	2542645	2541854		-	ucpA	b2426	predicted short-chain oxidoreductase	76	74	72	71	72	99
	2543631	2542774		-	murR	b2427	"Repressor for murPQ, MurNAc 6-P inducible"	10	8	11	14	7	8
	2543795	2544691		+	murQ	b2428	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase	17	20	17	19	19	24
	2544695	2546119		+	murP	b2429	"N-acetylmuramic acid permease, EIIBC component, PTS system"	8	10	8	11	10	14
	2546124	2547428		+	yfeW	b2430	"weak penicillin binding protein PBP4B, predicted periplasmic esterase"	8	7	8	15	8	10
	2548567	2547668	2547668	-	yfeX	b2431	"deferrrochelatase, cytoplasmic"	194	169	169	191	167	169
	2549238	2548663		-	yfeY	b2432	RpoE-regulated lipoprotein	71	77	82	77	79	81
	2549748	2549299		-	yfeZ	b2433	inner membrane protein	51	63	49	56	60	57
	2550160	2549735		-	ypeA	b2434	predicted acyltransferase with acyl-CoA N-acyltransferase domain	119	108	114	116	121	96
	2550374	2551243		+	amiA	b2435	N-acetylmuramoyl-l-alanine amidase I	82	87	94	74	77	81
	2551247	2552146		+	hemF	b2436	coproporphyrinogen III oxidase	40	44	38	37	35	37
	2553204	2552152		-	eutR	b2437	"eut operon transcriptional activator, AraC family"	10	8	10	12	10	11
	2553750	2553250		-	eutK	b2438	predicted carboxysome structural protein with predicted role in ethanolamine utilization	12	16	11	17	11	13
	2554422	2553763		-	eutL	b2439	predicted carboxysome structural protein with predicted role in ethanolamine utilization	14	21	18	21	19	24
	2555319	2554432		-	eutC	b2440	"ethanolamine ammonia-lyase, small subunit (light chain)"	16	16	14	17	13	20
	2556701	2555340		-	eutB	b2441	"ethanolamine ammonia-lyase, large subunit, heavy chain"	46	48	47	46	41	46
	2556880	2558088		+	intZ	b2442	CPZ-55 prophage; predicted integrase	22	21	22	19	20	22
	2558279	2558920		+	yffL	b2443	CPZ-55 prophage; predicted protein	10	14	17	19	15	14
	2559390	2559635		+	yffM	b2444	CPZ-55 prophage; predicted protein	7	5	8	11	6	5
	2559647	2560015		+	yffN	b2445	CPZ-55 prophage; predicted protein	3	3	4	4	6	4
	2560133	2560549		+	yffO	b2446	CPZ-55 prophage; predicted protein	3	4	6	10	4	9
	2560546	2561139		+	yffP	b2447	CPZ-55 prophage; predicted protein	5	6	6	13	5	4
	2561614	2561991		+	yffQ	b2448	CPZ-55 prophage; predicted protein	3	4	5	11	5	5
	2562002	2562394		+	yffR	b2449	CPZ-55 prophage; predicted protein	21	21	25	28	30	15
	2562545	2563354		+	yffS	b2450	CPZ-55 prophage; predicted protein	66	61	60	75	65	73
	2564906	2563503		-	eutA	b2451	reactivating factor for ethanolamine ammonia lyase	1	1	2	3	1	1
	2566129	2564903		-	eutH	b2452	ethanolamine transporter	1	3	1	4	1	2
	2567533	2566346		-	eutG	b2453	"ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase, converts acetaldehyde to ethanol"	1	2	1	3	1	1
	2568359	2567523		-	eutJ	b2454	"predicted chaperonin, ethanolamine utilization protein"	1	1	0	2	1	1
	2569773	2568370		-	eutE	b2455	"aldehyde oxidoreductase, ethanolamine utilization protein"	0	1	1	2	1	1
	2570072	2569785		-	eutN	b2456	Ethanolamine catabolic microcompartment shell protein	1	0	1	3	0	2
	2570472	2570179		-	eutM	b2457	"predicted carboxysome structural protein, ethanolamine utilization protein"	5	5	3	5	4	5
	2571527	2570511		-	eutD	b2458	phosphate acetyltransferase	1	2	2	5	1	1
	2572327	2571524		-	eutT	b2459	cobalamin adenosyltransferase involved in ethanolamine utilization	1	3	1	2	1	1
	2573025	2572324		-	eutQ	b2460	conserved protein	1	2	2	6	2	3
	2573479	2573000		-	eutP	b2461	conserved protein with nucleoside triphosphate hydrolase domain	2	2	3	4	1	2
	2573827	2573492		-	eutS	b2462	predicted carboxysome structural protein with predicted role in ethanol utilization	0	2	1	3	1	2
	2576399	2574120		-	maeB	b2463	fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase	91	102	93	93	106	123
	2576688	2577638		+	talA	b2464	transaldolase A	18	35	42	29	40	46
	2577658	2579661		+	tktB	b2465	"transketolase 2, thiamin-binding"	14	27	30	20	35	38
	2580799	2579756		-	ypfG	b2466	predicted protein	3	5	4	6	3	4
	2581500	2580925		-	nudK	b2467	GDP-mannose pyrophosphatase	31	39	34	48	34	33
	2583547	2581568		-	aegA	b2468	fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit	4	4	4	6	4	3
	2583753	2585453		+	narQ	b2469	sensory histidine kinase in two-component regulatory system with NarP (NarL)	13	14	17	17	16	15
	2585617	2588730		+	acrD	b2470	aminoglycoside/multidrug efflux system	9	9	10	11	9	10
	2588888	2588829		-	ypfM	b4606	hypothetical protein	41	49	55	52	48	46
	2589269	2589625		+	yffB	b2471	"predicted reductase, function unknown, ArsC family; low abundance protein"	125	145	150	145	155	137
	2589629	2590756		+	dapE	b2472	N-succinyl-diaminopimelate deacylase	141	147	127	131	144	135
	2590784	2590984		+	ypfN	b4547	"predicted membrane protein, UPF0370 family"	126	141	131	122	145	130
	2591792	2591094		-	ypfH	b2473	predicted hydrolase	33	39	36	38	35	38
	2593881	2591866		-	tmcA	b2474	elongator methionine tRNA (ac4C34) acetyltransferase	28	28	26	27	28	26
	2594759	2593896		-	ypfJ	b2475	conserved protein	85	88	87	84	80	83
	2595640	2594927		-	purC	b2476	phosphoribosylaminoimidazole-succinocarboxamide synthetase	161	153	179	162	164	187
2596887	2596887	2595853	2595853	-	bamC	b2477	"lipoprotein required for OM biogenesis, in BamABCDE complex"	376	374	339	326	340	369
2597782	2597782	2596904	2596888	-	dapA	b2478	dihydrodipicolinate synthase	573	568	552	516	576	545
	2597928	2598500		+	gcvR	b2479	"DNA-binding transcriptional repressor, regulatory protein accessory to GcvA"	120	114	120	117	127	111
	2598500	2598970	2598970	+	bcp	b2480	"thiol peroxidase, thioredoxin-dependent"	686	643	687	707	725	579
	2599223	2599840		+	hyfA	b2481	"hydrogenase 4, 4Fe-4S subunit"	1	1	2	2	2	1
	2599840	2601858		+	hyfB	b2482	"hydrogenase 4, membrane subunit"	1	2	1	3	1	2
	2601869	2602816		+	hyfC	b2483	"hydrogenase 4, membrane subunit"	1	2	1	6	1	1
	2602833	2604272		+	hyfD	b2484	"hydrogenase 4, membrane subunit"	0	1	1	3	1	1
	2604284	2604934		+	hyfE	b2485	"hydrogenase 4, membrane subunit"	0	2	0	6	1	1
	2604939	2606519		+	hyfF	b2486	"hydrogenase 4, membrane subunit"	2	1	3	4	2	2
	2606509	2608176		+	hyfG	b2487	"hydrogenase 4, subunit"	2	3	3	5	3	3
	2608186	2608731		+	hyfH	b2488	"hydrogenase 4, Fe-S subunit"	3	3	2	6	3	4
	2608728	2609486		+	hyfI	b2489	"hydrogenase 4, Fe-S subunit"	2	3	2	6	2	2
	2609479	2609892		+	hyfJ	b2490	predicted processing element hydrogenase 4	3	1	2	7	1	3
	2609922	2611934		+	hyfR	b2491	"DNA-binding transcriptional activator, formate sensing"	3	3	2	6	1	2
	2611956	2612804		+	focB	b2492	predicted formate transporter	8	7	7	15	6	7
	2613903	2612842		-	yfgO	b2493	"predicted inner membrane permease, UPF0118 family"	35	32	30	34	35	40
	2614116	2615579		+	yfgC	b2494	"predicted peptidase, has TPR repeats"	51	51	45	57	52	52
	2615600	2615959		+	yfgD	b2495	predicted oxidoreductase	153	164	158	175	169	143
	2616798	2616097		-	hda	b2496	ATPase regulatory factor involved in DnaA inactivation	100	92	96	98	85	86
	2618182	2616893	2616893	-	uraA	b2497	uracil permease	182	152	171	168	151	142
2618894	2618894	2618268	2618268	-	upp	b2498	uracil phosphoribosyltransferase	637	468	497	585	453	452
	2619219	2620256		+	purM	b2499	phosphoribosylaminoimidazole synthetase	137	123	129	123	119	132
	2620256	2620894		+	purN	b2500	phosphoribosylglycinamide formyltransferase 1	123	114	122	111	105	125
	2621066	2623132		+	ppk	b2501	"polyphosphate kinase, component of RNA degradosome"	64	63	63	66	67	63
	2623137	2624678		+	ppx	b2502	exopolyphosphatase	54	57	53	62	61	54
	2626960	2624717		-	yfgF	b2503	"cyclic-di-GMP phosphodiesterase, anaerobic"	3	4	5	9	4	3
	2627312	2627503		+	yfgG	b2504	predicted protein	57	82	79	82	63	74
	2627814	2628332		+	yfgH	b2505	outer membrane lipoprotein	2	3	5	8	4	4
	2628348	2628887		+	yfgI	b2506	conserved protein	5	5	5	12	8	5
2630557	2630557	2628980	2628969	-	guaA	b2507	GMP synthetase (glutamine aminotransferase)	1324	1269	1321	1288	1159	1178
2632096	2632092	2630626	2630558	-	guaB	b2508	IMP dehydrogenase	1399	1288	1306	1292	1172	1112
	2632254	2633624		+	xseA	b2509	"exonuclease VII, large subunit"	91	97	89	93	84	75
	2633836	2633621		-	yfgJ	b2510	"conserved protein, DUF1407 family"	106	102	121	104	114	109
2635438	2635378	2633906	2633906	-	der	b2511	GTPase; multicopy suppressor of ftsJ	287	285	314	265	282	306
2636684	2636674	2635496	2635496	-	bamB	b2512	"lipoprotein required for OM biogenesis, in BamABCDE complex"	393	394	404	322	399	404
2637305	2637305	2636685	2636685	-	yfgM	b2513	"conserved protein, UPF0070 family"	366	363	405	373	368	399
2638597	2638597	2637323	2637306	-	hisS	b2514	histidyl tRNA synthetase	382	391	405	372	363	409
2639852	2639826	2638708	2638701	-	ispG	b2515	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	258	254	269	263	258	266
	2640866	2639853	2639853	-	rodZ	b2516	cytoskeletal protein required for MreB assembly	181	186	187	165	170	174
2642377	2642305	2641151	2641151	-	rlmN	b2517	"23S rRNA m(2)A2503 methyltransferase, SAM-dependen"	310	285	318	266	270	291
2642907	2642886	2642455	2642419	-	ndk	b2518	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase	1256	1261	1364	1189	1418	1490
	2645347	2643035		-	pbpC	b2519	penicillin-binding protein PBP1C murein transglycosylase; inactive transpeptidase domain	6	7	7	9	5	8
	2650309	2645348		-	yfhM	b2520	conserved protein	35	34	32	38	33	33
	2650516	2651361		+	sseA	b2521	3-mercaptopyruvate sulfurtransferase	75	71	66	76	67	71
2651877			2652180	+	ryfA	b4440	-	97	97	118	69	75	117
	2652955	2652179		-	sseB	b2522	"rhodanase-like enzyme, sulfur transfer from thiosulfate"	106	137	127	121	151	122
	2654380	2653097		-	pepB	b2523	aminopeptidase B	136	182	137	147	158	149
2654762	2654758	2654558	2654558	-	iscX	b2524	conserved protein	483	508	494	470	526	482
2655106	2655105	2654770	2654770	-	fdx	b2525	[2Fe-2S] ferredoxin	458	509	497	520	518	482
2656957	2656957	2655107	2655107	-	hscA	b2526	DnaK-like molecular chaperone specific for IscU	257	305	235	243	259	248
2657584	2657489	2656974	2656958	-	hscB	b2527	DnaJ-like molecular chaperone specific for IscU	291	326	264	288	302	257
2657924	2657908	2657585	2657585	-	iscA	b2528	FeS cluster assembly protein	1264	1304	1031	1305	1319	1010
2658338	2658311	2657925	2657925	-	iscU	b2529	iron-sulfur cluster assembly scaffold protein	1112	1100	883	1123	1135	855
2659594	2659553	2658339	2658339	-	iscS	b2530	"cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent"	1114	1070	842	1206	1039	821
2660193	2660153	2659665	2659645	-	iscR	b2531	DNA-binding transcriptional repressor	597	569	422	575	583	456
2661345	2661345	2660605		-	trmJ	b2532	"tRNA mC32/mU32 methyltransferase, SAM-dependent"	178	187	183	172	172	180
2661464	2661464	2662267	2662267	+	suhB	b2533	inositol monophosphatase	482	430	478	440	434	439
	2662412	2663266		+	yfhR	b2534	"S9 peptidase family protein, function unknown"	3	5	4	9	3	3
	2663457	2664737		+	csiE	b2535	stationary phase inducible protein	8	10	10	13	12	14
	2665868	2664729		-	hcaT	b2536	predicted 3-phenylpropionic transporter	17	21	16	19	21	21
	2666918	2666028		-	hcaR	b2537	DNA-binding transcriptional activator of 3-phenylpropionic acid catabolism	12	14	14	18	18	24
	2667054	2668415		+	hcaE	b2538	"3-phenylpropionate dioxygenase, large (alpha) subunit"	6	8	6	10	7	5
	2668412	2668930		+	hcaF	b2539	"3-phenylpropionate dioxygenase, small (beta) subunit"	3	3	2	8	6	3
	2668930	2669250		+	hcaC	b2540	"3-phenylpropionate dioxygenase, predicted ferredoxin subunit"	3	5	5	8	6	4
	2669247	2670059		+	hcaB	b2541	"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"	3	3	3	7	4	6
	2670069	2671271		+	hcaD	b2542	"phenylpropionate dioxygenase, ferredoxin reductase subunit"	4	4	4	8	4	4
	2671368	2671790		+	yphA	b2543	predicted inner membrane protein	9	15	11	8	18	19
	2672710	2671838		-	yphB	b2544	conserved protein	6	7	4	8	5	5
	2673783	2672722		-	yphC	b2545	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"	6	8	5	10	5	5
	2674847	2673849		-	yphD	b2546	predicted sugar transporter subunit: membrane component of ABC superfamily	1	2	2	8	2	1
	2676383	2674872		-	yphE	b2547	fused predicted sugar transporter subunits of ABC superfamily: ATP-binding components	2	3	2	5	2	1
	2677389	2676406		-	yphF	b2548	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily	2	2	3	4	3	2
	2680767	2677486		-	yphG	b2549	conserved protein	2	2	2	3	1	2
	2680885	2682078		+	yphH	b2550	predicted DNA-binding transcriptional regulator	17	18	14	25	17	14
2683549	2683529	2682276	2682263	-	glyA	b2551	serine hydroxymethyltransferase	626	601	605	609	592	592
	2683857	2685047		+	hmp	b2552	fused nitric oxide dioxygenase/dihydropteridine reductase 2	32	33	39	38	38	37
2685456	2685430	2685092	2685092	-	glnB	b2553	regulatory protein P-II for glutamine synthetase	264	248	250	231	246	253
	2686825	2685491		-	glrR	b2554	Response regulator regulating glmY sRNA in two-component system with sensor protein GlrK	26	30	26	29	28	29
	2687528	2686815		-	yfhG	b2555	conserved protein	28	30	30	30	26	29
	2689120	2687693		-	glrK	b2556	Sensor protein kinase regulating glmY sRNA in two-component system with response regulator GlrR	24	24	22	23	25	22
2689362			2689179	-	glmY	b4441	-	197	249	278	213	107	346
	2693565	2689678		-	purL	b2557	phosphoribosylformyl-glycineamide synthetase	97	95	95	90	83	109
